Scraped Website	Most Common Word	Number of Occurrence
https://facebook.com	jump	1
https://github.com	github	35
https://www.collinsdictionary.com	ray	2
https://brilliant.org	brilliant	9
https://svelte.dev	svelte	10
https://svelte.dev	svelte	10
https://www.geeksforgeeks.org	read	18
https://svelte.dev	svelte	10
https://google.com	search	1
https://www.geeksforgeeks.org	read	18
https://www.geeksforgeeks.org	read	18
http://theworstthingsforsale.com	may	11
https://parade.com/1116816/marynliles/fun-websites/	please	5
https://w3schools.com	learn	85
https://crazygames.com	gamesview	12
